X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.87989386727746;45.7668306064525;0;10027;Mairie de Villeurbanne;Avenue Aristide Briand;En face de l'entrée de la mairie;VILLEURBANNE;27;26;Non;Mairie de Villeurbanne, TNP, itinéraire cyclable;Oui;;1;69266
4.89384801671434;45.7738436681982;0;10030;Greuze;2, Rue Greuze;;VILLEURBANNE;30;18;Non;centre social;Oui;;2;69266
4.8861572848566;45.7617882849687;0;10034;Docteur Damidot;Rue du Docteur Damidot;Devant la MJC;VILLEURBANNE;34;10;Non;MJC;Oui;;3;69266
4.85915458576084;45.7743568286995;0;10036;Stalingrad;Avenue Stalingrad;angle rue Chaplin;VILLEURBANNE;36;16;Non;entreprises, itinéraires cyclables;Oui;;4;69266
4.86677832802409;45.7790457737186;0;10038;Condorcet;Boulevard du 11 Novembre 1918;Croisement Tram;VILLEURBANNE;38;12;Non;tram, itinéraire cyclable;Oui;;5;69266
4.8905858366251;45.7830110745979;0;10043;Salengro / Feyssine;Face 44, Rue de la Feyssine;;VILLEURBANNE;43;20;Non;itinéraires cyclables;Oui;;6;69266
4.88499768198071;45.7711723255043;0;10047;Lherminier / Pressensé;2, Rue du Commandant Lherminier;Angle Rue de Pressensé;VILLEURBANNE;47;10;Non;itinéraires cyclables;Oui;;7;69266
4.87588806571722;45.7592438500941;0;10048;Place Marengo;Place Marengo;;VILLEURBANNE;48;22;Non;c¿ur quartier, itinéraire cyclable;Oui;;8;69266
4.82049353568986;45.7426463934711;0;2007;Patinoire Charlemagne;100, Cours Charlemagne;Angle rue Casimir Périer;Lyon 2 ème;7;22;Non;tram, patinoire;Oui;;9;69382
4.89150082452704;45.7794499265826;0;10039;Bouvier;Rue du Professeur Bouvier;Angle rue du 8 Mai 1945;VILLEURBANNE;39;16;Non;coeur quartier;Oui;;10;69266
4.83428668834704;45.763076929567;0;2016;Place Regaud;Place Regaud;Angle rue Tupin / rue Herriot;Lyon 2 ème;16;12;Non;maillage, Virgin;Oui;;11;69382
4.86569926844606;45.7722995938508;0;10075;Gabriel Péri;Rue Gabriel Péri;Angle cours André Philip;VILLEURBANNE;75;12;Non;;Oui;;12;69266
4.87916148913811;45.7681304002299;0;10079;Anatole France / Barbusse;Rue Anatole France;Angle avenue Barbusse;VILLEURBANNE;79;20;Non;marché, centre-ville;Oui;;13;69266
4.85183018012134;45.7733195111248;0;6006;Boulevard des Belges;Boulevard des Belges;Face rue Duquenne;Lyon 6 ème;6;15;Non;Parc de la Tête d'Or;Oui;;14;69386
4.8494994527405;45.7683990532862;0;6011;Mairie du 6e;58, Rue de Sèze;angle rue Boileau;Lyon 6 ème;11;15;Non;mairie du 6e;Oui;;15;69386
4.88952608578932;45.7698360005898;0;10086;Anatole France;Rue Anatole France;Angle Rue de Pressensé / Flachet;VILLEURBANNE;86;10;Non;maillage, iti. Cyclable;Oui;;16;69266
4.84460363574836;45.7717570855734;0;6012;Place Puvis de Chavannes;Place Puvis de Chavannes;Angle rue Vendôme;Lyon 6 ème;12;10;Non;;Oui;;17;69386
4.8126762195854;45.7697822121574;0;9011;Conservatoire;Quai Chauveau;avant angle pont Koenig;Lyon 9 ème;11;19;Non;Conservatoire national de musique;Oui;;18;69389
4.88056348866904;45.7481664733629;0;3051;Place Henri;Place Henri;rue du Docteur Long;Lyon 3 ème;51;13;Non;maillage;Oui;;19;69383
4.80531798091198;45.7756418294443;0;9003;Place Valmy;Rue Roquette;angle rue de Bourgogne;Lyon 9 ème;3;16;Non;métro D, médiathèque;Oui;;20;69389
4.82904044151992;45.7633758464824;0;5026;Rue de la Baleine;Rue de la Baleine;angle quai Romain Rolland;Lyon 5 ème;26;14;Non;Vieux Lyon;Oui;;21;69385
4.86645231726683;45.7450174320832;0;8007;Frères Lumière;Rue des Frères Lumières;angle rue Villon;Lyon 8 ème;7;15;Non;commerces;Oui;;22;69388
4.86428606575088;45.7742255397183;0;10072;Jacques Brel;Rue Jacques Brel;;VILLEURBANNE;64;23;Non;Tram, habitat dense et quartier du Tonkin;Oui;;23;69266
4.85846417543021;45.7602630058938;0;3001;Part-Dieu / Vivier Merle;Place Béraudier;derrière la station tram;Lyon 3 ème;1;40;Non;gare;Oui;;24;69383
